fips,white,non_white,pctwhite
13059,77715.0,116714.0,0.6658584231540347
13061,1212.0,3183.0,0.38077285579641845
13063,64593.0,259424.0,0.2489862156161342
13065,4730.0,6798.0,0.6957928802588996
13067,461683.0,688078.0,0.6709748022753235
13069,30033.0,42356.0,0.7090612900179432
13071,33672.0,45498.0,0.7400764868785441
13073,96680.0,124053.0,0.7793443125115878
13075,12127.0,17212.0,0.704566581454799
13077,100005.0,127317.0,0.785480336482952
13079,9528.0,12630.0,0.754394299287411
13081,12866.0,23439.0,0.5489142028243525
13083,16076.0,16633.0,0.9665123549570132
13085,21674.0,22330.0,0.9706224809673085
13087,15679.0,27842.0,0.5631420156597946
13089,257000.0,691893.0,0.37144471760806946
13091,14821.0,21796.0,0.6799871536061662
13093,7211.0,14918.0,0.4833757876390937
13095,28639.0,94565.0,0.3028498916089462
13097,73966.0,132403.0,0.5586429310514113
13099,5384.0,11008.0,0.4890988372093023
13101,3651.0,4034.0,0.9050570153693605
13103,43646.0,52250.0,0.8353301435406698
13105,13780.0,20166.0,0.6833283744917187
13107,14533.0,22598.0,0.6431100097353748
13109,7417.0,11000.0,0.6742727272727272
13111,23181.0,23682.0,0.9788446921712693
13113,78147.0,106567.0,0.7333133146283559
13115,78629.0,96317.0,0.8163564064495364
13117,156425.0,175511.0,0.8912546791938967
13119,19678.0,22084.0,0.8910523455895671
13121,436938.0,920581.0,0.4746328677215802
13123,27466.0,28292.0,0.9708044676940478
13125,2785.0,3082.0,0.9036340038935756
13127,55975.0,79626.0,0.7029739029965086
13129,51263.0,55186.0,0.9289131301417026
13131,16973.0,25011.0,0.6786214065811044
13133,9581.0,15994.0,0.5990371389270976
13135,494858.0,805321.0,0.6144854039569314
13137,39422.0,43041.0,0.9159173811017401
13139,157817.0,179684.0,0.878303020858841
13141,2308.0,9429.0,0.2447767525718528
13143,26823.0,28780.0,0.9320013898540653
13145,25618.0,32024.0,0.7999625281039221
13147,19931.0,25213.0,0.7905048982667672
13149,10372.0,11834.0,0.8764576643569376
13151,116318.0,203922.0,0.5704043702984475
13153,91754.0,139900.0,0.6558541815582559
13155,6921.0,9538.0,0.7256238205074439
13157,54208.0,60485.0,0.8962222038521948
13159,10538.0,13900.0,0.7581294964028777
13161,12519.0,15068.0,0.8308335545526945
13163,7473.0,16930.0,0.4414057885410514
13165,4738.0,8340.0,0.56810551558753
13167,6364.0,9980.0,0.6376753507014028
13169,21106.0,28669.0,0.7361958910321252
13171,12222.0,18317.0,0.6672490036578043
13173,7277.0,10078.0,0.7220678706092478
13175,29916.0,48434.0,0.6176652764586861
13177,21932.0,28298.0,0.7750371050957665
13179,31331.0,63453.0,0.4937670401714655
13181,5292.0,7996.0,0.6618309154577289
13183,9947.0,14464.0,0.6877074115044248
13185,65300.0,109233.0,0.5978046927210642
13187,28768.0,29966.0,0.9600213575385437
13189,12702.0,21875.0,0.5806628571428571
13191,8888.0,14333.0,0.6201074443591711
13193,5389.0,14740.0,0.36560379918588876
13195,25161.0,28120.0,0.8947724039829303
13197,5560.0,8742.0,0.6360100663463738
13199,12900.0,21992.0,0.5865769370680247
13201,4294.0,6125.0,0.7010612244897959
13205,11767.0,23498.0,0.5007660226402247
13207,19567.0,26424.0,0.740501059642749
13209,6542.0,9123.0,0.7170886769702949
13211,13230.0,17868.0,0.7404298186702485
13213,38307.0,39628.0,0.9666649843544968
